event_id,company_id,fiscal_period,event_type,guidance_low_millions,guidance_high_millions,currency,direction,source_id,first_available_at,ingested_at,revision_id,superseded_at
CAPEX_GOOG_FY2026,CLOUD_GOOG,FY2026,GUIDANCE,175000,185000,USD,NEW_GUIDANCE,S_GOOG,2026-02-04T23:59:59+00:00,2026-07-19T23:59:59+00:00,v1,
CAPEX_MSFT_FY2026Q3,CLOUD_MSFT,FY2026Q3,ACTUAL,31900,31900,USD,INCREASE,S_MSFT,2026-04-29T23:59:59+00:00,2026-07-19T23:59:59+00:00,v1,
CAPEX_ORCL_FY2026,CLOUD_ORCL,FY2026,GUIDANCE,50000,50000,USD,NEW_GUIDANCE,S_ORCL,2026-06-15T23:59:59+00:00,2026-07-19T23:59:59+00:00,v1,
